module name;licenses;repository;licenseUrl;parents
JSONStream@1.3.1;(MIT OR Apache-2.0);https://github.com/dominictarr/JSONStream;https://github.com/dominictarr/JSONStream/raw/master/LICENSE.APACHE2;meta.exif
abbrev@1.0.7;ISC;https://github.com/isaacs/abbrev-js;https://github.com/isaacs/abbrev-js/raw/master/LICENSE;nopt:grunt:core.tasks
abbrev@1.0.9;ISC;https://github.com/isaacs/abbrev-js;https://github.com/isaacs/abbrev-js/raw/master/LICENSE;nopt:grunt:uploader.html
abbrev@1.1.0;ISC;https://github.com/isaacs/abbrev-js;https://github.com/isaacs/abbrev-js/raw/master/LICENSE;nopt:grunt:uploader.plupload
acorn@1.2.2;MIT;https://github.com/marijnh/acorn;https://github.com/marijnh/acorn/raw/master/LICENSE;detective:commoner:regenerator:babel-core:grunt-babel:uploader.html
acorn@3.3.0;MIT;https://github.com/ternjs/acorn;https://github.com/ternjs/acorn/raw/master/LICENSE;detective:commoner:regenerator:babel-core:grunt-babel:uploader.plupload
acorn@4.0.11;MIT;https://github.com/ternjs/acorn;https://github.com/ternjs/acorn/raw/master/LICENSE;meta.watch
ajv@4.11.3;MIT;https://github.com/epoberezkin/ajv;https://github.com/epoberezkin/ajv/raw/master/LICENSE;har-validator:request:less:assemble-less:action.cart
ajv@4.11.5;MIT;https://github.com/epoberezkin/ajv;https://github.com/epoberezkin/ajv/raw/master/LICENSE;access.ajxp_admin
ajv@4.11.7;MIT;https://github.com/epoberezkin/ajv;https://github.com/epoberezkin/ajv/raw/master/LICENSE;gui.ajax
align-text@0.1.4;MIT;https://github.com/jonschlinkert/align-text;https://github.com/jonschlinkert/align-text/raw/master/LICENSE;center-align:cliui:yargs:defs:regenerator:babel-core:grunt-babel:uploader.plupload
alter@0.2.0;MIT;https://github.com/olov/alter;https://github.com/olov/alter/raw/master/LICENSE;defs:regenerator:babel-core:grunt-babel:uploader.plupload
amdefine@1.0.0;BSD-3-Clause AND MIT;https://github.com/jrburke/amdefine;https://github.com/jrburke/amdefine/raw/master/LICENSE;source-map:source-map-support:babel-core:grunt-babel:uploader.html
amdefine@1.0.1;BSD-3-Clause OR MIT;https://github.com/jrburke/amdefine;https://github.com/jrburke/amdefine/raw/master/LICENSE;source-map:source-map-support:babel-core:grunt-babel:uploader.plupload
ansi-regex@2.0.0;MIT;https://github.com/sindresorhus/ansi-regex;https://github.com/sindresorhus/ansi-regex/raw/master/license;has-ansi:chalk:babel-core:grunt-babel:uploader.html
ansi-regex@2.1.1;MIT;https://github.com/chalk/ansi-regex;https://github.com/chalk/ansi-regex/raw/master/license;has-ansi:chalk:babel-core:grunt-babel:uploader.plupload
